Date,Symbols,Close,High,Low,Open,Volume
2020-08-11,BNTX,67.7998,72.1877,65.8782,68.3446,4070900.6489153
2020-08-11,MRNA,68.97,71.4,67.0,69.52,18118727.0
2020-08-10,AMZN,157.408,158.626,155.076,158.516,63345480.0
2020-08-10,GOOGL,74.841,75.3575,73.8745,74.54,20546580.0
2020-08-10,META,263.0,273.86,259.69,268.04,30248826.0
2020-08-10,PFE,35.4176,35.6676,35.2977,35.5661,20531091.309804
2020-08-10,BNTX,73.2475,76.5434,70.2265,76.2686,2857755.9385428
2020-08-10,MRNA,72.01,75.0,71.41,74.27,8678274.0
2020-08-07,AMZN,158.373,162.04,157.034,161.2,78722540.0
2020-08-07,GOOGL,74.9185,76.0045,74.3135,75.452,27725880.0
2020-08-07,META,268.44,278.89,263.43,264.08,72766364.0
2020-08-07,PFE,35.4744,35.6256,35.2069,35.3357,23752644.940672
2020-08-07,BNTX,76.2686,77.7939,73.3268,76.3577,3067356.9469476
2020-08-07,MRNA,74.1,75.39,73.01,74.38,8771437.0
2020-08-06,AMZN,161.25,162.373,158.272,159.718,78812040.0
2020-08-06,GOOGL,75.2475,75.3135,73.595,73.8075,33305220.0
2020-08-06,META,265.28,266.6,248.665,249.04,45241611.0
2020-08-06,PFE,35.3065,36.0735,35.1981,35.769,21515734.08909
2020-08-06,BNTX,76.3478,79.4976,75.8526,78.5368,3205632.4313325
2020-08-06,MRNA,73.76,76.25,73.12,75.79,11691503.0
2020-08-05,AMZN,160.252,160.679,156.365,157.188,78600500.0
2020-08-05,GOOGL,73.9545,74.5,73.5608,73.841,29150360.0
2020-08-05,META,249.12,252.2698,247.77,250.19,13088361.0
2020-08-05,PFE,35.4744,35.5485,35.1786,35.4908,25302991.957156
2020-08-05,BNTX,80.5277,82.4097,76.115,82.0333,4124703.7265123
2020-08-05,MRNA,75.8,77.49,73.69,77.49,19859902.0
2020-08-04,AMZN,156.942,158.362,155.06,155.06,93885880.0
2020-08-04,GOOGL,73.665,74.6555,73.2015,74.3355,37212180.0
2020-08-04,META,249.83,252.8,247.43,251.56,17183533.0
2020-08-04,PFE,35.4176,35.685,35.1415,35.3455,30284172.308747
2020-08-04,BNTX,82.38,83.6973,80.3098,83.6379,2433453.4723594
2020-08-04,MRNA,78.46,78.62,75.5,78.192,10126500.0
2020-08-03,AMZN,155.594,159.2,155.2,159.026,101493260.0
2020-08-03,GOOGL,74.138,74.8865,73.586,74.55,45521700.0
2020-08-03,META,251.96,255.4,250.33,252.65,23134103.0
2020-08-03,PFE,35.3806,35.6676,35.2557,35.6207,31917108.971437
2020-08-03,BNTX,84.6581,84.668,81.0626,82.2017,2457762.3836853
2020-08-03,MRNA,77.98,77.99,73.03,74.98,13382327.0
2020-07-31,AMZN,158.234,162.341,157.55,162.2,161667380.0
2020-07-31,GOOGL,74.3975,75.251,72.7,74.8525,91527640.0
2020-07-31,META,253.67,255.85,249.0,255.82,53030037.0
2020-07-31,PFE,35.4997,35.7505,34.9287,35.6763,29311781.693228
2020-07-31,BNTX,81.33,86.1241,80.082,85.1831,2668319.4739502
2020-07-31,MRNA,74.1,78.44,73.6038,78.2,14223411.0
2020-07-30,AMZN,152.594,154.6,150.25,150.7,122565300.0
2020-07-30,GOOGL,76.9185,77.0445,74.7585,74.8985,36042420.0
2020-07-30,META,234.5,234.893,229.0,230.22,20615306.0
2020-07-30,PFE,35.7417,35.9252,35.244,35.3162,33189622.778592
2020-07-30,BNTX,83.3606,84.0737,77.2591,78.2991,3334424.8355577
2020-07-30,MRNA,77.63,79.25,76.8,78.0,13101985.0
2020-07-29,AMZN,151.676,151.958,149.838,151.55,59481200.0
2020-07-29,GOOGL,76.1755,76.6665,75.1505,75.25,22675460.0
2020-07-29,META,233.29,233.7,230.31,231.14,13588317.0
2020-07-29,PFE,35.8716,36.0432,35.1298,35.9067,38456739.551946
2020-07-29,BNTX,81.7163,85.9656,79.2599,84.7275,3883222.8903419
2020-07-29,MRNA,79.51,82.82,76.5502,81.98,24453924.0
2020-07-28,AMZN,150.016,153.855,149.788,152.714,62533020.0
2020-07-28,GOOGL,75.1825,76.3005,75.026,76.25,30910680.0
2020-07-28,META,230.12,234.96,229.83,234.63,14170112.0
2020-07-28,PFE,35.6509,35.9379,34.7747,35.2117,58560919.242279
2020-07-28,BNTX,84.569,89.5413,83.3011,88.1546,5157606.3096727
2020-07-28,MRNA,81.49,83.85,79.5,81.0,32946885.0
2020-07-27,AMZN,152.76,154.9,150.788,153.1,83409840.0
2020-07-27,GOOGL,76.4715,76.878,75.6165,75.663,27123700.0
2020-07-27,META,233.5,234.95,230.83,231.46,13163083.0
2020-07-27,PFE,34.2993,34.4906,34.0164,34.1344,28702451.473559
2020-07-27,BNTX,85.708,87.3622,80.9976,86.6094,5178341.2719126
2020-07-27,MRNA,79.91,80.98,76.16,80.63,44710713.0
